InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",6,2010-12-01 08:26:00,2.55,17850,United Kingdom
536365,71053,"WHITE METAL LANTERN",6,2010-12-01 08:26:00,3.39,17850,United Kingdom
536366,84406B,"CREAM CUPID HEARTS COAT HANGER",8,2010-12-01 08:28:00,2.75,13047,United Kingdom
536367,84407,"KNITTED UNION FLAG BUNTING",2,2010-12-01 08:34:00,3.75,12583,United Kingdom
536368,84408,"RED WOOLLY HOTTIE WHITE HEART.",6,2010-12-01 08:35:00,3.95,17850,United Kingdom
536369,22728,"REGENCY CAKESTAND 3 TIER",2,2010-12-01 08:45:00,10.0,12583,United Kingdom
536370,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",3,2010-12-01 08:50:00,4.25,13047,France
536371,22727,"HAND WARMER UNION JACK",4,2010-12-01 09:00:00,1.85,17850,United Kingdom
536372,22633,"JUMBO BAG RED RETROSPOT",10,2010-12-02 10:01:00,1.65,12583,United Kingdom
536373,22632,"SET 7 BABUSHKA NESTING BOXES",5,2010-12-03 11:11:00,7.65,17850,Spain
536374,22631,"LUNCH BAG RED RETROSPOT",3,2010-12-03 12:21:00,3.75,12583,Germany
536375,22139,"SKULL AND ROSES BELT",1,2010-12-04 13:33:00,9.95,13047,United Kingdom
